assetId,domain,assetKind,logicalGroup,source,sourcePath,sourceType,originalFunction,originalRenderer,modernRenderer,productionStatus,shippingStatus,evidenceStatus,rightsStatus,replacementRequired,replacementComplete,humanApproved,runtimeQaPassed,dimensions,format,runtimeConsumer,visualQaStatus,generation,disposition,replacementAssetId,dependencies,blockers,notes
art:vfx:battle-atkup:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/atkup,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_ATKUP,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-circle-my:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/circle_my,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_CIRCLE_MY,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-circle:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/circle,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_CIRCLE,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-critup:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/critup,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_CRITUP,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-defup:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/defup,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_DEFUP,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-earth-hit:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/earth_hit,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_EARTH_HIT,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-hitspark-big:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/hitspark_big,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_HITSPARK_BIG,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-hitspark-small:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/hitspark_small,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_HITSPARK_SMALL,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-hitup:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/hitup,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_HITUP,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
art:vfx:battle-hypereffect-ring:nitro-reference,VFX,NITRO_3D_EFFECT_FAMILY,battle/hypereffect_ring,YDIJ Nitro 3D inventory + decoded reference pack,R:\NEXUS LINK\原作\YDIJ_3D_RESEARCH_PACK_2026-08-24\3D_ASSET_INVENTORY.csv,ROM_BINARY,RAW_3D_BATTLE_HYPEREFFECT_RING,NITRO_3D_VFX,HYBRID_2D_3D,NEEDS_CONVERSION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""CLEAN_ROOM_ORIGINAL_REPLACEMENT_REQUIRED""]","Verified Nitro 3D effect family; recreate only the effect layer, not the whole scene."
